"AUC","Accuracy","Sensitivity","Specificity","F1"
0.797283704851122,0.855136938690393,0.940160307609664,0.654407102092581,0.901165311653117
0.837598739591021,0.859923338166074,0.892732438965776,0.782465040216267,0.899535638994929
0.835692837660886,0.863448590891939,0.904239528407244,0.767146146914528,0.902943937436918
0.784869797646174,0.849615697801434,0.944768797975657,0.624970797316691,0.898231277888286
0.827343713876885,0.864908343429127,0.920114788164944,0.734572639588826,0.905383224370566
0.810199922530163,0.860350340608925,0.934053351051047,0.686346494009278,0.903817086265739
0.826102789292486,0.820758276896189,0.812903773024781,0.839301805560191,0.864344872161013
0.82948955181348,0.865017576612182,0.91723094756782,0.74174815605914,0.905183418084416
0.818283167333455,0.863071239895931,0.928893538217956,0.707672796448954,0.90503901327071
0.746197312568111,0.830758078290401,0.955031877747777,0.537362747388446,0.88799216608942
0.719166389410443,0.816796091438104,0.96027650942196,0.478056269398925,0.880439643049246
0.837441958159382,0.850797402236301,0.870425083758606,0.804458832560157,0.891257934009307
0.835803748328391,0.863428730313201,0.904027481304514,0.767580015352268,0.902910633731725
0.837682855925386,0.859109054437846,0.890597831464963,0.784767880385809,0.898793049333752
0.835391791825628,0.843200730869297,0.854677052262543,0.816106531388713,0.884498346841443
0.833890851761934,0.864322456356378,0.909045929402451,0.758735774121416,0.903966318275428
0.708538268931528,0.811175547655459,0.962015295664344,0.455061242198712,0.877416692990543
0.814165683405336,0.861800162856746,0.931805651762111,0.69652571504856,0.904512614324823
0.650330428898611,0.779994439037954,0.970553725667595,0.330107132129627,0.8610684342215
0.83413436257932,0.83925840598995,0.846788900040996,0.821479825117645,0.880968313613601
0.833317060402713,0.864421759250065,0.910134437863131,0.756499682942296,0.904133635731689
0.827855889640207,0.824680741196798,0.820014419202986,0.835697360077429,0.867920011371373
0.830538393649354,0.864828901114178,0.915223568328645,0.745853218970063,0.904875048918209
0.836596048531197,0.861879605171695,0.899037306153607,0.774154790908787,0.90142661743549
0.835777442069938,0.863418800023833,0.904041617778029,0.767513266361846,0.902905630541594
0.832229742523448,0.864610434748069,0.912198362996367,0.752261122050529,0.904450206741888
0.837144271287618,0.848473714524041,0.865123906190362,0.809164636384875,0.88915041226254
0.808851449544337,0.859982919902286,0.935127723038211,0.682575176050462,0.903688524590164
0.742028480304936,0.828563484339934,0.955738701423543,0.52831825918633,0.886778593913956
0.838084975682678,0.85334948660404,0.875782807220911,0.800387144144445,0.893504095996308
0.706233092419935,0.809964052352486,0.962411116922772,0.450055067917098,0.876771605375506
0.823487015401854,0.86438203809259,0.924482958481177,0.722491072322531,0.905455829312362
0.836104214796113,0.86278326150424,0.901991829118308,0.770216600473918,0.902297956586297
0.836503422146402,0.862127862405911,0.899786539249919,0.773220305042886,0.901660244786945
0.836924512652011,0.847719012532025,0.863583030577192,0.81026599472683,0.888483270672591
0.76533144866332,0.840112410875653,0.95001342964984,0.580649467676801,0.893021587035819
0.837067845727034,0.860866715656094,0.895842463139145,0.778293228314922,0.900456828628875
0.82787275947351,0.864908343429127,0.919337282121602,0.736408236825418,0.905310781652398
0.830302066187356,0.86503743719092,0.916085893213079,0.744518239161633,0.905088793759646
0.803743303509727,0.857887628845505,0.937460241168238,0.670026365851217,0.902607168863694
0.816071319713384,0.862544934559393,0.93084437156307,0.701298267863699,0.904889511873351
0.765735077465452,0.840301086373657,0.949886201388202,0.581583953542703,0.893121552468931
0.817737589474759,0.80303271037318,0.781421846506171,0.854053332443347,0.847878271940118
0.838221142858825,0.854392166987746,0.878157734771484,0.798284550946167,0.894437125188081
